"filename", "language", "YAML", "Dart", "Markdown", "C++", "Swift", "HTML", "JSON", "XML", "Properties", "Groovy", "comment", "blank", "total"
"d:\Dev\informative_cards\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 7, 17
"d:\Dev\informative_cards\analysis_options.yaml", "YAML", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 30
"d:\Dev\informative_cards\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 53, 3, 13, 69
"d:\Dev\informative_cards\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\Dev\informative_cards\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 11, 1, 42
"d:\Dev\informative_cards\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Dev\informative_cards\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"d:\Dev\informative_cards\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Dev\informative_cards\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"d:\Dev\informative_cards\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 3, 1, 8
"d:\Dev\informative_cards\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 5, 30
"d:\Dev\informative_cards\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 1, 4
"d:\Dev\informative_cards\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 1, 7
"d:\Dev\informative_cards\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 4, 12
"d:\Dev\informative_cards\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 2, 14
"d:\Dev\informative_cards\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 1, 123
"d:\Dev\informative_cards\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 0, 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 1, 24
"d:\Dev\informative_cards\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"d:\Dev\informative_cards\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"d:\Dev\informative_cards\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"d:\Dev\informative_cards\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"d:\Dev\informative_cards\lib\card_back.dart", "Dart", 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 64
"d:\Dev\informative_cards\lib\card_front.dart", "Dart", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 30
"d:\Dev\informative_cards\lib\category_screen.dart", "Dart", 0, 296, 0, 0, 0, 0, 0, 0, 0, 0, 7, 15, 318
"d:\Dev\informative_cards\lib\game_screen.dart", "Dart", 0, 363, 0, 0, 0, 0, 0, 0, 0, 0, 50, 37, 450
"d:\Dev\informative_cards\lib\main.dart", "Dart", 0, 242, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 260
"d:\Dev\informative_cards\lib\res\category_creation.dart", "Dart", 0, 33, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 38
"d:\Dev\informative_cards\lib\res\colors.dart", "Dart", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 9
"d:\Dev\informative_cards\lib\words_screen.dart", "Dart", 0, 522, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20, 545
"d:\Dev\informative_cards\pubspec.yaml", "YAML", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 16, 89
"d:\Dev\informative_cards\test\widget_test.dart", "Dart", 0, 14, 0, 0, 0, 0, 0, 0, 0, 0, 10, 7, 31
"d:\Dev\informative_cards\web\index.html", "HTML", 0, 0, 0, 0, 0, 79, 0, 0, 0, 0, 17, 6, 102
"d:\Dev\informative_cards\web\manifest.json", "JSON", 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"Total", "-", 28, 1554, 13, 1, 12, 79, 180, 125, 8, 86, 219, 191, 2496
